name,width,height,channels,compressedArray,raw3d,javaArray,matlabArray,sharedMem
sample_240p_gray.jpg,426,240,1,6.693176341194,0.283636714163584,0.145855094633012,0.0843209868739528,0.199950064236986
sample_480p_gray.jpg,640,480,1,7.67095334640723,0.683948496633287,0.399258021985431,0.200954310357088,0.228078437073827
sample_720p_gray.jpg,1280,720,1,10.4201857420755,2.19145150305066,1.06789683524201,0.541726386784089,0.409307725979081
sample_1080p_gray.jpg,1920,1080,1,16.0059591064027,3.96448713917066,3.76893173812801,1.96547637295694,0.988884551992453
sample_4k_gray.jpg,3840,2160,1,80.1173158579233,39.2181876794566,16.0466504322762,8.2264096976516,3.15421617444648
sample_240p_rgb.jpg,426,240,3,9.06631026859435,63.3773784672565,0.816294071076289,0.321299235845871,0.237006825081027
sample_480p_rgb.jpg,640,480,3,10.629963354103,192.96858471618,1.87461224721995,0.515652333311737,0.298295468013457
sample_720p_rgb.jpg,1280,720,3,21.5289177055465,555.024199882114,6.96221316565873,2.58572279646594,1.37288424858529
sample_1080p_rgb.jpg,1920,1080,3,44.7901338942152,1240.18197951053,19.1621047608061,6.16853478041696,2.5928339019584
sample_4k_rgb.jpg,3840,2160,3,186.546466333656,5089.18634572931,71.6005818464539,25.0275816078368,9.83035904761754
